max_depth_c,n_est_c,max_depth_r,n_est_r,test_acc_1,test_acc_2,test_acc_3,test_f1_1,test_f1_2,test_f1_3,test_r2_1,test_r2_2,test_r2_3,overall_r2_1,overall_r2_2,overall_r2_3
15,100,15,100,0.809673104255497,0.8086280411336845,0.8065379148900593,0.879991565407628,0.8788504287075262,0.8774624020334676,0.04384991091705137,0.3506684490713001,0.30520657119534833,0.04330048426609101,0.3057811386740005,0.32950294422395476
15,100,15,150,0.8100075244544771,0.8112616002006521,0.809087868907282,0.8801708455271692,0.8804068550843643,0.8791511206371887,0.02356837487064556,0.3253242231514387,0.31928088466611193,0.025444585035439116,0.29959109943751727,0.3586379709089933
15,100,15,200,0.808753448708302,0.8100075244544771,0.8074575704372544,0.8793162573531351,0.8795930802447877,0.878051363516018,0.05923385019841554,0.34282917673181545,0.3207987267023359,0.061360632067315124,0.36404195193599787,0.342986825904673
15,100,30,100,0.808586238608812,0.8091296714321545,0.8066215199398044,0.8793889108389306,0.8789629943802355,0.8776643571164119,0.1519657935766201,0.35334706612019184,0.33777290761328627,0.13775987909314347,0.32042584191088086,0.3596811271357625
15,100,30,150,0.8090460663824095,0.809505894156007,0.8071649527631469,0.8796818205763051,0.8791214621077482,0.8779468183622173,0.12398913823051705,0.36602519873100947,0.3294255263648147,0.12269968821861776,0.3024780123853237,0.35263288166746376
15,100,30,200,0.8082100158849594,0.8096313017306245,0.807582978011872,0.8789318133839983,0.8792490852203425,0.8781856193929128,0.08876818492725291,0.3601296477522439,0.3227691446524573,0.09218511055271061,0.29903827774055025,0.35545200535283794
15,100,,100,0.8086280411336845,0.8095894992057521,0.8085026335590669,0.8793548727138566,0.8793089743250045,0.8786715046216595,0.0816742826145258,0.363713432301629,0.3199923504031501,0.24877924016889041,0.322337330959906,0.3654345695025658
15,100,,150,0.809171473957027,0.8112616002006521,0.8061616921662068,0.8796118041087582,0.8803054001749688,0.8772793436548896,0.10695796847401051,0.3554864493170191,0.319494970701968,0.10027675646819822,0.3774204437726819,0.35797942372305125
15,100,,200,0.809004263857537,0.8102165370788396,0.808251818409832,0.8794999604399083,0.8796777271281672,0.8785383291407389,0.16347464158384084,0.3553675812651338,0.33111076134572304,0.1686762232857889,0.3084193567583067,0.3832379605913735
15,150,15,100,0.809840314354987,0.8080428057854694,0.8070395451885294,0.8800400833311357,0.8783447252689027,0.8778771363564211,0.08476583007169503,0.3379176076837206,0.295896580318737,0.09116704585765967,0.30796013135784694,0.2967705071129164
15,150,15,150,0.8085026335590669,0.809505894156007,0.8088788562829194,0.879278994386908,0.8792559815585174,0.8791563144261775,0.055101588714622673,0.36041853826945525,0.31997637294663106,0.22190966503989573,0.3802021454872383,0.3720674332184942
15,150,15,200,0.8096313017306245,0.809756709305242,0.8064961123651868,0.8800063237774031,0.8793574212019193,0.8774780974563934,0.10703518629788245,0.3355104513920639,0.3069114335772406,0.4504331823369784,0.3188675061729289,0.35351342905623684
15,150,30,100,0.809422289106262,0.8091296714321545,0.8069141376139118,0.8798397511926412,0.8790207196227016,0.8777427807628172,0.17620178787028917,0.3690050685041337,0.31633052062509803,0.4733325904409865,0.306516270131463,0.36771184316258476
15,150,30,150,0.808753448708302,0.8100075244544771,0.8084608310341944,0.8792971532596364,0.8796313461691253,0.8787702402370621,0.10664398060786173,0.34493733102348945,0.31254631266479893,0.08593359732147776,0.29948930581396627,0.33464974129121206
15,150,30,200,0.8087952512331745,0.809171473957027,0.8078755956859794,0.8793203524879953,0.8790824570232828,0.8782452050439757,0.1246519841010788,0.3472388881915631,0.3181720229408911,0.08598978153031978,0.30219546398360986,0.3643808616543993
15,150,,100,0.8092132764818996,0.8112197976757796,0.808001003260597,0.8797428330522766,0.8802376153601358,0.8784824192396221,0.05073315798662581,0.34210207568797035,0.3260472565305471,0.03232813529404599,0.30220685147718207,0.3714089669792955
15,150,,150,0.809171473957027,0.8107599699021821,0.8074575704372544,0.8795546291654573,0.8800381588361555,0.8782319039813885,0.14466744546264376,0.33722145631843536,0.32328549284944674,0.13750651416599857,0.36118952530751025,0.34742809685650267
15,150,,200,0.808669843658557,0.8086280411336845,0.8074575704372544,0.8793971173355116,0.8786770551757036,0.8781932617549056,0.12075055308907101,0.35824506527168276,0.3102660889874804,0.29895400315762644,0.3071204669482125,0.35243357402698605
15,200,15,100,0.8108853774767996,0.8099239194047321,0.8070813477134019,0.8807967959527825,0.8795145605341953,0.8777969018932874,0.20296479221099217,0.3555851240535757,0.3197125834939192,0.20601750534481078,0.37451522738104137,0.35159124595333857
15,200,15,150,0.8094640916311345,0.8092968815316445,0.8089624613326645,0.8798756061564411,0.8791395114714141,0.8792219461916592,0.2026970506100928,0.33854538737068984,0.31111158205821243,0.20710147024313186,0.3070166049262514,0.3630007798219729
15,200,15,200,0.810174734553967,0.8109689825265446,0.8069559401387844,0.8802510482318503,0.8802753508075192,0.8778565382987727,0.09057655610784088,0.34318413946300275,0.31611430151936226,0.0917306358718174,0.2970128626562173,0.34260547691709775
15,200,30,100,0.8076247805367445,0.8110107850514171,0.8088788562829194,0.8787990518830655,0.8802352380195502,0.8789643670249377,0.0036098073532452313,0.33471822224961356,0.3327921611748137,0.0030515455174972006,0.3092835679917538,0.3860166395657313
15,200,30,150,0.8095476966808796,0.809840314354987,0.8077083855864894,0.879985248406301,0.8795764394440768,0.878229563744176,0.06870177273478084,0.34787211875546753,0.31515639290470254,0.05380462067577274,0.36250214328071473,0.36011168375705616
